|home|away|date|home_pts|away_pts|game_id
805|CLE|ATL|2020-02-12|127|105|21900807
797|DEN|SAS|2020-02-10|127|120|21900799
241|IND|MEM|2019-11-25|126|114|21900242
981|LAC|NOP|2020-08-01|126|103|21901241
545|SAS|MIL|2020-01-06|126|104|21900546
543|NOP|UTA|2020-01-06|126|128|21900544
515|LAC|DET|2020-01-02|126|112|21900516
1004|SAS|DEN|2020-08-05|126|132|21901264
866|MIA|MIN|2020-02-26|126|129|21900868
25|MIL|MIA|2019-10-26|126|131|21900026
878|MIA|DAL|2020-02-28|126|118|21900880
31|HOU|NOP|2019-10-26|126|123|21900032
411|OKC|MEM|2019-12-18|126|122|21900412
257|TOR|NYK|2019-11-27|126|98|21900258
2|CHA|CHI|2019-10-23|126|125|21900003
5|BKN|MIN|2019-10-23|126|127|21900006
843|CHI|WAS|2020-02-23|126|117|21900845
333|UTA|MEM|2019-12-07|126|112|21900334
425|OKC|PHX|2019-12-20|126|108|21900426
801|WAS|CHI|2020-02-11|126|114|21900803
799|LAL|PHX|2020-02-10|125|100|21900801
436|PHX|HOU|2019-12-21|125|139|21900437
348|PHX|MIN|2019-12-09|125|109|21900349
384|MIL|CLE|2019-12-14|125|108|21900385
885|NYK|CHI|2020-02-29|125|115|21900887
432|PHI|WAS|2019-12-21|125|108|21900433
847|CLE|MIA|2020-02-24|125|119|21900849
278|LAL|WAS|2019-11-29|125|103|21900279
119|MIN|GSW|2019-11-08|125|119|21900120
765|POR|SAS|2020-02-06|125|117|21900767
750|HOU|CHA|2020-02-04|125|110|21900752
184|ORL|WAS|2019-11-17|125|121|21900185
215|WAS|CHA|2019-11-22|125|118|21900216
707|BKN|DET|2020-01-29|125|115|21900709
901|NYK|HOU|2020-03-02|125|123|21900903
710|POR|HOU|2020-01-29|125|112|21900712
923|POR|WAS|2020-03-04|125|104|21900925
59|TOR|DET|2019-10-30|125|113|21900060
667|POR|DAL|2020-01-23|125|133|21900668
105|TOR|SAC|2019-11-06|124|120|21900106
110|LAC|MIL|2019-11-06|124|129|21900111
32|SAS|WAS|2019-10-26|124|122|21900033
205|MIA|CLE|2019-11-20|124|100|21900206
11|PHX|SAC|2019-10-23|124|95|21900012
854|LAC|MEM|2020-02-24|124|97|21900856
1036|LAL|DEN|2020-08-10|124|121|21901296
674|MIN|HOU|2020-01-24|124|131|21900675
1002|UTA|MEM|2020-08-05|124|115|21901262
1029|POR|PHI|2020-08-09|124|121|21901289
969|PHI|DET|2020-03-11|124|106|21900971
162|MIL|CHI|2019-11-14|124|115|21900163
137|POR|ATL|2019-11-10|124|113|21900138
836|MIA|CLE|2020-02-22|124|105|21900838
583|NYK|MIA|2020-01-12|124|121|21900584
733|POR|UTA|2020-02-01|124|107|21900735
512|DAL|BKN|2020-01-02|123|111|21900513
234|HOU|DAL|2019-11-24|123|137|21900235
635|UTA|SAC|2020-01-18|123|101|21900636
731|DAL|ATL|2020-02-01|123|100|21900733
1038|SAS|HOU|2020-08-11|123|105|21901298
795|MIL|SAC|2020-02-10|123|111|21900797
491|WAS|MIA|2019-12-30|123|105|21900492
68|BKN|HOU|2019-11-01|123|116|21900069
597|ATL|PHX|2020-01-14|123|110|21900598
188|NYK|CLE|2019-11-18|123|105|21900189
556|ORL|WAS|2020-01-08|123|89|21900557
611|SAC|DAL|2020-01-15|123|127|21900612
559|NOP|CHI|2020-01-08|123|108|21900560
690|NOP|BOS|2020-01-26|123|108|21900691
521|LAL|NOP|2020-01-03|123|113|21900522
851|HOU|NYK|2020-02-24|123|112|21900853
46|NOP|GSW|2019-10-28|123|134|21900047
96|CHA|IND|2019-11-05|122|120|21900097
857|CHI|OKC|2020-02-25|122|124|21900859
430|BKN|ATL|2019-12-21|122|112|21900431
187|LAL|ATL|2019-11-17|122|101|21900188
1028|BOS|ORL|2020-08-09|122|119|21901288
422|TOR|WAS|2019-12-20|122|118|21900423
414|POR|GSW|2019-12-18|122|112|21900415
66|NOP|DEN|2019-10-31|122|107|21900067
247|MIL|UTA|2019-11-25|122|118|21900248
102|DET|NYK|2019-11-06|122|102|21900103
365|GSW|NYK|2019-12-11|122|124|21900366
356|IND|BOS|2019-12-11|122|117|21900357
587|MEM|GSW|2020-01-12|122|102|21900588
15|GSW|LAC|2019-10-24|122|141|21900016
959|WAS|NYK|2020-03-10|122|115|21900961
617|LAC|ORL|2020-01-16|122|95|21900618
1050|LAL|SAC|2020-08-13|122|136|21901310
534|MIA|POR|2020-01-05|122|111|21900535
223|LAC|HOU|2019-11-22|122|119|21900224
129|MEM|DAL|2019-11-09|122|138|21900130
783|SAC|SAS|2020-02-08|122|102|21900785
272|MIA|GSW|2019-11-29|122|105|21900273
493|MIN|BKN|2019-12-30|122|115|21900494
312|DAL|MIN|2019-12-04|121|114|21900313
661|HOU|DEN|2020-01-22|121|105|21900662
713|WAS|CHA|2020-01-30|121|107|21900715
255|IND|UTA|2019-11-27|121|102|21900256
1045|PHI|TOR|2020-08-12|121|125|21901305
149|DEN|ATL|2019-11-12|121|125|21900150
1025|OKC|WAS|2020-08-09|121|103|21901285
252|BOS|BKN|2019-11-27|121|110|21900253
455|PHI|MIL|2019-12-25|121|109|21900456
964|POR|PHX|2020-03-10|121|105|21900966
213|PHX|NOP|2019-11-21|121|124|21900214
1015|MEM|OKC|2020-08-07|121|92|21901275
481|GSW|DAL|2019-12-28|121|141|21900482
464|UTA|POR|2019-12-26|121|115|21900465
608|OKC|TOR|2020-01-15|121|130|21900609
443|CLE|ATL|2019-12-23|121|118|21900444
935|DAL|MEM|2020-03-06|121|96|21900937
103|IND|WAS|2019-11-06|121|106|21900104
599|MEM|HOU|2020-01-14|121|110|21900600
112|SAS|OKC|2019-11-07|121|112|21900113
757|MIN|ATL|2020-02-05|120|127|21900759
865|ATL|ORL|2020-02-26|120|130|21900867
540|PHI|OKC|2020-01-06|120|113|21900541
299|WAS|ORL|2019-12-03|120|127|21900300
781|GSW|LAL|2020-02-08|120|125|21900783
520|PHX|NYK|2020-01-03|120|112|21900521
913|LAL|PHI|2020-03-03|120|107|21900915
988|HOU|MIL|2020-08-02|120|116|21901248
999|IND|ORL|2020-08-04|120|109|21901259
488|DEN|SAC|2019-12-29|120|115|21900489
908|BOS|BKN|2020-03-03|120|129|21900910
1031|LAC|BKN|2020-08-09|120|129|21901291
473|NOP|IND|2019-12-28|120|98|21900474
623|SAS|ATL|2020-01-17|120|121|21900624
445|IND|TOR|2019-12-23|120|115|21900446
624|DAL|POR|2020-01-17|120|112|21900625
405|LAC|PHX|2019-12-17|120|99|21900406
483|POR|LAL|2019-12-28|120|128|21900484
529|DAL|CHA|2020-01-04|120|123|21900530
148|CHI|NYK|2019-11-12|120|102|21900149
158|LAL|GSW|2019-11-13|120|94|21900159
6|MIA|MEM|2019-10-23|120|101|21900007
9|SAS|NYK|2019-10-23|120|111|21900010
199|SAC|PHX|2019-11-19|120|116|21900200
53|LAL|MEM|2019-10-29|120|91|21900054
35|OKC|GSW|2019-10-27|120|92|21900036
39|LAL|CHA|2019-10-27|120|101|21900040
855|IND|CHA|2020-02-25|119|80|21900857
838|MIL|PHI|2020-02-22|119|98|21900840
315|WAS|PHI|2019-12-05|119|113|21900316
634|OKC|POR|2020-01-18|119|106|21900635
259|MEM|LAC|2019-11-27|119|121|21900260
796|DAL|UTA|2020-02-10|119|123|21900798
656|BOS|MEM|2020-01-22|119|95|21900657
779|TOR|BKN|2020-02-08|119|118|21900781
280|PHI|IND|2019-11-30|119|116|21900281
326|MIL|LAC|2019-12-06|119|91|21900327
627|BOS|PHX|2020-01-18|119|123|21900628
767|PHI|MEM|2020-02-07|119|107|21900769
763|CHI|NOP|2020-02-06|119|125|21900765
756|TOR|IND|2020-02-05|119|118|21900758
744|BKN|PHX|2020-02-03|119|97|21900746
151|UTA|BKN|2019-11-12|119|114|21900152
134|OKC|MIL|2019-11-10|119|121|21900135
393|DET|WAS|2019-12-16|119|133|21900394
724|LAL|POR|2020-01-31|119|127|21900726
715|BOS|GSW|2020-01-30|119|104|21900717
768|WAS|DAL|2020-02-07|119|118|21900770
338|WAS|LAC|2019-12-08|119|135|21900339
922|MIL|IND|2020-03-04|119|100|21900924
1016|BKN|SAC|2020-08-07|119|106|21901276
37|DAL|POR|2019-10-27|119|121|21900038
976|MIL|BOS|2020-07-31|119|112|21901236
550|MEM|MIN|2020-01-07|119|112|21900551
379|PHX|SAS|2019-12-14|119|121|21900380
963|SAS|DAL|2020-03-10|119|109|21900965
439|BOS|CHA|2019-12-22|119|93|21900440
434|MEM|SAC|2019-12-21|119|115|21900435
1014|SAS|UTA|2020-08-07|119|111|21901274
471|DEN|MEM|2019-12-28|119|110|21900472
420|IND|SAC|2019-12-20|119|105|21900421
1051|MEM|MIL|2020-08-13|119|106|21901311
387|NOP|ORL|2019-12-15|119|130|21900388
383|DAL|MIA|2019-12-14|118|122|21900384
417|SAS|BKN|2019-12-19|118|105|21900418
678|GSW|IND|2020-01-24|118|129|21900679
345|HOU|SAC|2019-12-09|118|119|21900346
427|POR|ORL|2019-12-20|118|103|21900428
650|UTA|IND|2020-01-20|118|88|21900651
441|OKC|LAC|2019-12-22|118|112|21900442
649|PHX|SAS|2020-01-20|118|120|21900650
643|MIA|SAC|2020-01-20|118|113|21900644
519|HOU|PHI|2020-01-03|118|108|21900520
544|DAL|CHI|2020-01-06|118|110|21900545
630|CHI|CLE|2020-01-18|118|116|21900631
612|LAL|ORL|2020-01-15|118|119|21900613
725|LAC|MIN|2020-02-01|118|106|21900727
396|MEM|MIA|2019-12-16|118|111|21900397
116|ORL|MEM|2019-11-08|118|86|21900117
928|WAS|ATL|2020-03-06|118|112|21900930
308|ATL|BKN|2019-12-04|118|130|21900309
941|MEM|ATL|2020-03-07|118|101|21900943
859|LAL|NOP|2020-02-25|118|109|21900861
942|GSW|PHI|2020-03-07|118|114|21900944
827|TOR|PHX|2020-02-21|118|101|21900829
808|IND|MIL|2020-02-12|118|111|21900810
786|PHI|CHI|2020-02-09|118|111|21900788
817|NOP|OKC|2020-02-13|118|123|21900819
973|BKN|ORL|2020-07-31|118|128|21901233
1018|NOP|WAS|2020-08-07|118|107|21901278
1054|UTA|SAS|2020-08-13|118|112|21901314
984|BKN|WAS|2020-08-02|118|110|21901244
933|MIN|ORL|2020-03-06|118|132|21900935
961|HOU|MIN|2020-03-10|117|111|21900963
440|MIL|IND|2019-12-22|117|89|21900441
1020|POR|LAC|2020-08-08|117|122|21901280
418|LAC|HOU|2019-12-19|117|122|21900419
506|LAL|PHX|2020-01-01|117|107|21900507
474|MIA|PHI|2019-12-28|117|116|21900475
486|MEM|CHA|2019-12-29|117|104|21900487
499|TOR|CLE|2019-12-31|117|97|21900500
501|SAS|GSW|2019-12-31|117|113|21900502
244|MIA|CHA|2019-11-25|117|100|21900245
504|NYK|POR|2020-01-01|117|93|21900505
989|PHX|DAL|2020-08-02|117|115|21901249
1039|PHI|PHX|2020-08-11|117|130|21901299
147|MIA|DET|2019-11-12|117|108|21900148
54|CLE|CHI|2019-10-30|117|111|21900055
660|CHI|MIN|2020-01-22|117|110|21900661
736|HOU|NOP|2020-02-02|117|109|21900738
684|DEN|HOU|2020-01-26|117|110|21900685
742|WAS|GSW|2020-02-03|117|125|21900744
774|UTA|POR|2020-02-07|117|114|21900776
153|CHA|MEM|2019-11-13|117|119|21900154
672|MIA|LAC|2020-01-24|117|122|21900673
662|NOP|SAS|2020-01-22|117|121|21900663
778|IND|NOP|2020-02-08|117|124|21900780
697|UTA|HOU|2020-01-27|117|126|21900698
639|ATL|TOR|2020-01-20|117|122|21900640
828|MIN|BOS|2020-02-21|117|127|21900830
831|LAL|MEM|2020-02-21|117|105|21900833
56|PHI|MIN|2019-10-30|117|95|21900057
604|PHI|BKN|2020-01-15|117|106|21900605
567|BKN|MIA|2020-01-10|117|113|21900568
193|DAL|SAS|2019-11-18|117|110|21900194
552|LAL|NYK|2020-01-07|117|87|21900553
1058|TOR|DEN|2020-08-14|117|109|21901318
304|LAC|POR|2019-12-03|117|97|21900305
258|HOU|MIA|2019-11-27|117|108|21900259
376|MIN|LAC|2019-12-13|117|124|21900377
251|DEN|WAS|2019-11-26|117|104|21900252
508|IND|DEN|2020-01-02|116|124|21900509
476|CHI|ATL|2019-12-28|116|81|21900477
525|ATL|IND|2020-01-04|116|111|21900526
584|WAS|UTA|2020-01-12|116|127|21900585
730|BOS|PHI|2020-02-01|116|95|21900732
361|MIN|UTA|2019-12-11|116|127|21900362
456|GSW|HOU|2019-12-25|116|104|21900457
371|PHI|NOP|2019-12-13|116|109|21900372
180|SAS|POR|2019-11-16|116|121|21900181
216|BKN|SAC|2019-11-22|116|97|21900217
881|NOP|CLE|2020-02-28|116|104|21900883
141|NOP|HOU|2019-11-11|116|122|21900142
887|MIA|BKN|2020-02-29|116|113|21900889
996|MIL|BKN|2020-08-04|116|119|21901256
495|POR|PHX|2019-12-30|116|122|21900496
140|BOS|DAL|2019-11-11|116|106|21900141
237|DEN|PHX|2019-11-24|116|104|21900238
57|BOS|MIL|2019-10-30|116|105|21900058
44|HOU|OKC|2019-10-28|116|112|21900045
917|MIA|ORL|2020-03-04|116|113|21900919
20|NOP|DAL|2019-10-25|116|123|21900021
645|MEM|NOP|2020-01-20|116|126|21900646
564|MIN|POR|2020-01-09|116|102|21900565
1046|OKC|MIA|2020-08-12|116|115|21901306
170|MIN|WAS|2019-11-15|116|137|21900171
397|MIL|DAL|2019-12-16|116|120|21900398
754|BOS|ORL|2020-02-05|116|100|21900756
753|DET|PHX|2020-02-05|116|108|21900755
618|IND|MIN|2020-01-17|116|114|21900619
38|MIN|MIA|2019-10-27|116|109|21900039
804|HOU|BOS|2020-02-11|116|105|21900806
806|ORL|DET|2020-02-12|116|112|21900808
227|ATL|TOR|2019-11-23|116|119|21900228
814|UTA|MIA|2020-02-12|116|101|21900816
815|DEN|LAL|2020-02-12|116|120|21900817
1022|IND|LAL|2020-08-08|116|111|21901282
701|PHI|GSW|2020-01-28|115|104|21900702
920|MIN|CHI|2020-03-04|115|108|21900922
606|CHI|WAS|2020-01-15|115|106|21900607
225|CHA|CHI|2019-11-23|115|116|21900226
81|MIL|TOR|2019-11-02|115|105|21900082
722|MIL|DEN|2020-01-31|115|127|21900724
743|ATL|BOS|2020-02-03|115|123|21900745
557|ATL|HOU|2020-01-08|115|122|21900558
790|POR|MIA|2020-02-09|115|109|21900792
124|POR|BKN|2019-11-08|115|119|21900125
126|SAS|BOS|2019-11-09|115|135|21900127
542|ATL|DEN|2020-01-06|115|123|21900543
198|NOP|POR|2019-11-19|115|104|21900199
532|SAC|NOP|2020-01-04|115|117|21900533
332|HOU|PHX|2019-12-07|115|109|21900333
594|POR|CHA|2020-01-13|115|112|21900595
832|POR|NOP|2020-02-21|115|128|21900834
90|WAS|DET|2019-11-04|115|99|21900091
858|DEN|DET|2020-02-25|115|98|21900860
76|OKC|NOP|2019-11-02|115|104|21900077
871|PHI|NYK|2020-02-27|115|106|21900873
497|IND|PHI|2019-12-31|115|97|21900498
217|PHI|SAS|2019-11-22|115|104|21900218
150|PHX|LAL|2019-11-12|115|123|21900151
706|IND|CHI|2020-01-29|115|106|21900708
962|MEM|ORL|2020-03-10|115|120|21900964
1012|DEN|POR|2020-08-06|115|125|21901272
449|MEM|SAS|2019-12-23|115|145|21900450
998|LAC|PHX|2020-08-04|115|117|21901258
354|POR|NYK|2019-12-10|115|87|21900355
632|HOU|LAL|2020-01-18|115|124|21900633
446|NYK|WAS|2019-12-23|115|121|21900447
139|DET|MIN|2019-11-11|114|120|21900140
130|OKC|GSW|2019-11-09|114|108|21900131
185|MEM|DEN|2019-11-17|114|131|21900186
891|SAS|ORL|2020-02-29|114|113|21900893
378|UTA|GSW|2019-12-13|114|106|21900379
522|LAC|MEM|2020-01-04|114|140|21900523
369|DEN|POR|2019-12-12|114|99|21900370
94|PHX|PHI|2019-11-04|114|109|21900095
912|PHX|TOR|2020-03-03|114|123|21900914
133|PHI|CHA|2019-11-10|114|106|21900134
536|PHX|MEM|2020-01-05|114|121|21900537
898|NOP|LAL|2020-03-01|114|122|21900900
840|LAL|BOS|2020-02-23|114|112|21900842
375|MEM|MIL|2019-12-13|114|127|21900376
732|SAS|CHA|2020-02-01|114|90|21900734
1010|PHX|IND|2020-08-06|114|99|21901270
351|CHA|WAS|2019-12-10|114|107|21900352
1033|UTA|DAL|2020-08-10|114|122|21901293
419|CLE|MEM|2019-12-20|114|107|21900420
1035|MIA|IND|2020-08-10|114|92|21901295
654|ORL|OKC|2020-01-22|114|120|21900655
588|DEN|LAC|2020-01-12|114|104|21900589
571|DAL|LAL|2020-01-10|114|129|21900572
553|BOS|SAS|2020-01-08|114|129|21900554
689|MEM|PHX|2020-01-26|114|109|21900690
421|BOS|DET|2019-12-20|114|93|21900422
850|BKN|ORL|2020-02-24|113|115|21900852
954|SAC|TOR|2020-03-08|113|118|21900956
1013|HOU|LAL|2020-08-06|113|97|21901273
206|TOR|ORL|2019-11-20|113|97|21900207
734|SAC|LAL|2020-02-01|113|129|21900736
413|DEN|ORL|2019-12-18|113|104|21900414
829|OKC|DEN|2020-02-21|113|101|21900831
276|PHX|DAL|2019-11-29|113|120|21900277
97|CLE|BOS|2019-11-05|113|119|21900098
18|BKN|NYK|2019-10-25|113|109|21900019
1027|NOP|SAS|2020-08-09|113|122|21901287
747|SAC|MIN|2020-02-03|113|109|21900749
547|CLE|DET|2020-01-07|113|115|21900548
788|HOU|UTA|2020-02-09|113|114|21900790
1043|WAS|MIL|2020-08-11|113|126|21901303
328|POR|LAL|2019-12-06|113|136|21900329
729|WAS|BKN|2020-02-01|113|107|21900731
77|DET|BKN|2019-11-02|113|109|21900078
242|ATL|MIN|2019-11-25|113|125|21900243
991|OKC|DEN|2020-08-03|113|121|21901251
453|GSW|MIN|2019-12-23|113|104|21900454
693|MIA|ORL|2020-01-27|113|92|21900694
47|SAS|POR|2019-10-28|113|110|21900048
937|LAL|MIL|2020-03-06|113|103|21900939
229|PHI|MIA|2019-11-23|113|86|21900230
927|GSW|TOR|2020-03-05|113|121|21900929
469|MIA|IND|2019-12-27|113|112|21900470
621|MEM|CLE|2020-01-17|113|109|21900622
437|POR|MIN|2019-12-21|113|106|21900438
900|CLE|UTA|2020-03-02|113|126|21900902
33|UTA|SAC|2019-10-26|113|81|21900034
222|UTA|GSW|2019-11-22|113|109|21900223
970|DAL|DEN|2020-03-11|113|97|21900973
565|OKC|HOU|2020-01-09|113|92|21900566
666|BKN|LAL|2020-01-23|113|128|21900667
592|BOS|CHI|2020-01-13|113|101|21900593
728|CLE|GSW|2020-02-01|112|131|21900730
99|CHI|LAL|2019-11-05|112|118|21900100
924|CHA|DEN|2020-03-05|112|114|21900926
1000|MIA|BOS|2020-08-04|112|106|21901260
51|MIA|ATL|2019-10-29|112|97|21900052
665|CLE|WAS|2020-01-23|112|124|21900666
72|CHI|DET|2019-11-01|112|106|21900073
1042|SAC|NOP|2020-08-11|112|106|21901302
115|IND|DET|2019-11-08|112|106|21900116
323|MIA|WAS|2019-12-06|112|103|21900324
23|SAC|POR|2019-10-25|112|122|21900024
769|BOS|ATL|2020-02-07|112|107|21900771
266|BKN|BOS|2019-11-29|112|107|21900267
562|DET|CLE|2020-01-09|112|115|21900563
764|MIL|PHI|2020-02-06|112|101|21900766
16|BOS|TOR|2019-10-25|112|106|21900017
595|SAC|ORL|2020-01-13|112|114|21900596
309|BOS|MIA|2019-12-04|112|93|21900310
200|LAL|OKC|2019-11-19|112|107|21900201
671|NYK|TOR|2020-01-24|112|118|21900672
631|MIN|TOR|2020-01-18|112|122|21900632
669|DET|MEM|2020-01-24|112|125|21900670
1|LAC|LAL|2019-10-22|112|102|21900002
679|UTA|DAL|2020-01-25|112|107|21900680
813|PHX|GSW|2020-02-12|112|106|21900815
975|WAS|PHX|2020-07-31|112|125|21901235
820|PHI|BKN|2020-02-20|112|104|21900822
154|ORL|PHI|2019-11-13|112|97|21900155
873|OKC|SAC|2020-02-27|112|108|21900875
1023|MIA|PHX|2020-08-08|112|119|21901283
1030|SAC|HOU|2020-08-09|112|129|21901290
566|WAS|ATL|2020-01-10|111|101|21900567
699|CLE|NOP|2020-01-28|111|125|21900700
145|IND|OKC|2019-11-12|111|85|21900146
168|HOU|IND|2019-11-15|111|102|21900169
568|NYK|NOP|2020-01-10|111|123|21900569
260|MIL|ATL|2019-11-27|111|102|21900261
